"customer_state","qtd_pedidos","qtd_clientes","porcentagem_clientes_por_estado"
"AC","1","76","93.83%"
"AC","2","2","2.47%"
"AC","3","2","2.47%"
"AC","6","1","1.23%"
"AL","1","387","94.16%"
"AL","2","20","4.87%"
"AL","4","3","0.73%"
"AL","5","1","0.24%"
"AM","1","137","93.20%"
"AM","2","5","3.40%"
"AM","3","3","2.04%"
"AM","4","1","0.68%"
"AM","5","1","0.68%"
"AP","1","58","85.29%"
"AP","2","8","11.76%"
"AP","3","1","1.47%"
"AP","5","1","1.47%"
"BA","1","3040","90.53%"
"BA","2","251","7.47%"
"BA","3","38","1.13%"
"BA","4","15","0.45%"
"BA","5","6","0.18%"
"BA","6","7","0.21%"
"BA","11","1","0.03%"
"CE","1","1223","92.16%"
"CE","2","77","5.80%"
"CE","3","16","1.21%"
"CE","4","5","0.38%"
"CE","5","3","0.23%"
"CE","6","3","0.23%"
"DF","1","1924","90.54%"
"DF","2","153","7.20%"
"DF","3","30","1.41%"
"DF","4","10","0.47%"
"DF","5","2","0.09%"
"DF","6","6","0.28%"
"ES","1","1854","91.56%"
"ES","2","131","6.47%"
"ES","3","28","1.38%"
"ES","4","8","0.40%"
"ES","6","4","0.20%"
"GO","1","1798","89.59%"
"GO","2","161","8.02%"
"GO","3","33","1.64%"
"GO","4","6","0.30%"
"GO","5","1","0.05%"
"GO","6","2","0.10%"
"GO","7","1","0.05%"
"GO","9","1","0.05%"
"GO","11","2","0.10%"
"GO","15","1","0.05%"
"GO","20","1","0.05%"
"MA","1","681","92.03%"
"MA","2","47","6.35%"
"MA","3","4","0.54%"
"MA","4","5","0.68%"
"MA","5","1","0.14%"
"MA","6","2","0.27%"
"MG","1","10411","90.19%"
"MG","2","873","7.56%"
"MG","3","157","1.36%"
"MG","4","53","0.46%"
"MG","5","25","0.22%"
"MG","6","21","0.18%"
"MG","7","2","0.02%"
"MG","12","2","0.02%"
"MS","1","630","88.86%"
"MS","2","60","8.46%"
"MS","3","12","1.69%"
"MS","4","4","0.56%"
"MS","5","1","0.14%"
"MS","6","2","0.28%"
"MT","1","798","88.37%"
"MT","2","78","8.64%"
"MT","3","17","1.88%"
"MT","4","5","0.55%"
"MT","6","5","0.55%"
"PA","1","895","92.27%"
"PA","2","50","5.15%"
"PA","3","18","1.86%"
"PA","4","5","0.52%"
"PA","5","1","0.10%"
"PA","6","1","0.10%"
"PB","1","486","91.35%"
"PB","2","35","6.58%"
"PB","3","5","0.94%"
"PB","4","2","0.38%"
"PB","5","1","0.19%"
"PB","6","3","0.56%"
"PE","1","1532","92.96%"
"PE","2","85","5.16%"
"PE","3","21","1.27%"
"PE","4","9","0.55%"
"PE","5","1","0.06%"
"PI","1","459","93.10%"
"PI","2","23","4.67%"
"PI","3","8","1.62%"
"PI","4","2","0.41%"
"PI","5","1","0.20%"
"PR","1","4493","89.90%"
"PR","2","386","7.72%"
"PR","3","62","1.24%"
"PR","4","28","0.56%"
"PR","5","13","0.26%"
"PR","6","13","0.26%"
"PR","7","1","0.02%"
"PR","12","1","0.02%"
"PR","15","1","0.02%"
"RJ","1","11457","89.77%"
"RJ","2","1015","7.95%"
"RJ","3","156","1.22%"
"RJ","4","83","0.65%"
"RJ","5","25","0.20%"
"RJ","6","21","0.16%"
"RJ","7","1","0.01%"
"RJ","8","3","0.02%"
"RJ","10","1","0.01%"
"RN","1","444","92.12%"
"RN","2","31","6.43%"
"RN","3","6","1.24%"
"RN","5","1","0.21%"
"RO","1","225","91.09%"
"RO","2","17","6.88%"
"RO","3","2","0.81%"
"RO","4","2","0.81%"
"RO","5","1","0.40%"
"RR","1","40","86.96%"
"RR","2","6","13.04%"
"RS","1","4873","89.71%"
"RS","2","426","7.84%"
"RS","3","76","1.40%"
"RS","4","26","0.48%"
"RS","5","16","0.29%"
"RS","6","12","0.22%"
"RS","7","1","0.02%"
"RS","9","1","0.02%"
"RS","10","1","0.02%"
"SC","1","3222","89.20%"
"SC","2","298","8.25%"
"SC","3","53","1.47%"
"SC","4","20","0.55%"
"SC","5","5","0.14%"
"SC","6","10","0.28%"
"SC","7","2","0.06%"
"SC","8","1","0.03%"
"SC","12","1","0.03%"
"SE","1","315","91.30%"
"SE","2","24","6.96%"
"SE","3","3","0.87%"
"SE","4","2","0.58%"
"SE","5","1","0.29%"
"SP","1","37153","89.80%"
"SP","2","3233","7.81%"
"SP","3","566","1.37%"
"SP","4","211","0.51%"
"SP","5","96","0.23%"
"SP","6","84","0.20%"
"SP","7","14","0.03%"
"SP","8","4","0.01%"
"SP","9","1","0.00%"
"SP","10","6","0.01%"
"SP","11","1","0.00%"
"SP","12","1","0.00%"
"SP","13","1","0.00%"
"SP","14","2","0.00%"
"SP","20","1","0.00%"
"SP","21","1","0.00%"
"TO","1","252","90.32%"
"TO","2","21","7.53%"
"TO","3","5","1.79%"
"TO","6","1","0.36%"
