"customer_state","customer_city","qtd_clientes","rank_cidade"
"CE","sao goncalo do amarante","5","16"
"CE","icapui","5","16"
"CE","cascavel","5","16"
"CE","sao benedito","4","17"
"CE","ipu","4","17"
"CE","itaitinga","4","17"
"CE","guaraciaba do norte","4","17"
"CE","varjota","4","17"
"CE","bela cruz","4","17"
"CE","campos sales","4","17"
"CE","morrinhos","4","17"
"CE","barro","4","17"
"CE","forquilha","4","17"
"CE","parambu","4","17"
"CE","santana do acarau","4","17"
"CE","jaguaruana","4","17"
"CE","senador pompeu","4","17"
"CE","jijoca de jericoacoara","4","17"
"CE","beberibe","3","18"
"CE","catarina","3","18"
"CE","monsenhor tabosa","3","18"
"CE","alto santo","3","18"
"CE","ubajara","3","18"
"CE","ipueiras","3","18"
"CE","aracoiaba","3","18"
"CE","ibiapina","3","18"
"CE","sucesso","3","18"
"CE","novo oriente","3","18"
"CE","pereiro","3","18"
"CE","aurora","3","18"
"CE","carire","3","18"
"CE","nova olinda","3","18"
"CE","reriutaba","3","18"
"CE","marco","3","18"
"CE","boa viagem","3","18"
"CE","baturite","3","18"
"CE","carius","3","18"
"CE","santana do cariri","3","18"
"CE","quixere","3","18"
"CE","deputado irapuan pinheiro","3","18"
"CE","maranguape","3","18"
"CE","miraima","2","19"
"CE","apuiares","2","19"
"CE","guaiuba","2","19"
"CE","pentecoste","2","19"
"CE","uruoca","2","19"
"CE","trairi","2","19"
"CE","meruoca","2","19"
"CE","aquiraz","2","19"
"CE","altaneira","2","19"
"CE","ocara","2","19"
"CE","iraucuba","2","19"
"CE","varzea alegre","2","19"
"CE","milha","2","19"
"CE","abaiara","2","19"
"CE","araripe","2","19"
"CE","aratuba","2","19"
"CE","lavras da mangabeira","2","19"
"CE","caririacu","2","19"
"CE","pacoti","2","19"
"CE","itapiuna","2","19"
"CE","carnaubal","2","19"
"CE","pedra branca","2","19"
"CE","arneiroz","2","19"
"CE","ipaporanga","2","19"
"CE","massape","2","19"
"CE","oros","2","19"
"CE","milagres","2","19"
"CE","frecheirinha","2","19"
"CE","quixelo","2","19"
"CE","jardim","2","19"
"CE","potengi","2","19"
"CE","iracema","2","19"
"CE","sao luis do curu","2","19"
"CE","solonopole","2","19"
"CE","penaforte","2","19"
"CE","jucas","1","20"
"CE","itapage","1","20"
"CE","mombaca","1","20"
"CE","lages","1","20"
"CE","jaguaribara","1","20"
"CE","erere","1","20"
"CE","tururu","1","20"
"CE","itarema","1","20"
"CE","vicosa do ceara","1","20"
"CE","mucambo","1","20"
"CE","taperuaba","1","20"
"CE","groairas","1","20"
"CE","coreau","1","20"
"CE","flores","1","20"
"CE","assare","1","20"
"CE","palhano","1","20"
"CE","amanari","1","20"
"CE","missao velha","1","20"
"CE","porteiras","1","20"
"CE","antonina do norte","1","20"
"CE","pires ferreira","1","20"
"CE","madalena","1","20"
"CE","ibicuitinga","1","20"
"CE","independencia","1","20"
"CE","banabuiu","1","20"
"CE","barreira","1","20"
"CE","saboeiro","1","20"
"CE","dourado","1","20"
"CE","fortim","1","20"
"CE","mauriti","1","20"
"CE","uruburetama","1","20"
"CE","caridade","1","20"
"CE","capistrano","1","20"
"CE","ipaumirim","1","20"
"CE","pacuja","1","20"
"CE","chaval","1","20"
"CE","tabuleiro do norte","1","20"
"CE","pindoretama","1","20"
"CE","itaicaba","1","20"
"CE","cedro","1","20"
"CE","croata","1","20"
"CE","lagoa do mato","1","20"
"CE","chorozinho","1","20"
"CE","missi","1","20"
"CE","aiuaba","1","20"
"CE","amontada","1","20"
"CE","guassusse","1","20"
"DF","brasilia","2131","1"
"DF","taguatinga","4","2"
"DF","guara","2","3"
"DF","sobradinho","1","4"
"DF","santa maria","1","4"
"DF","ceilandia","1","4"
"ES","vitoria","379","1"
"ES","vila velha","334","2"
"ES","serra","285","3"
"ES","cariacica","139","4"
"ES","cachoeiro de itapemirim","122","5"
"ES","guarapari","67","6"
"ES","colatina","65","7"
"ES","linhares","65","7"
"ES","sao mateus","48","8"
"ES","aracruz","41","9"
"ES","viana","21","10"
"ES","nova venecia","19","11"
"ES","castelo","18","12"
"ES","piuma","17","13"
"ES","alegre","17","13"
"ES","marataizes","16","14"
"ES","guacui","16","14"
"ES","venda nova do imigrante","15","15"
"ES","santa maria de jetiba","15","15"
"ES","jaguare","14","16"
"ES","anchieta","14","16"
"ES","sao gabriel da palha","14","16"
"ES","afonso claudio","11","17"
"ES","barra de sao francisco","10","18"
"ES","santa teresa","10","18"
"ES","montanha","10","18"
"ES","mimoso do sul","10","18"
"ES","ibatiba","9","19"
"ES","domingos martins","9","19"
"ES","ecoporanga","8","20"
"ES","vila valerio","8","20"
"ES","baixo guandu","8","20"
"ES","marilandia","8","20"
"ES","joao neiva","8","20"
"ES","pinheiros","8","20"
"ES","boa esperanca","7","21"
"ES","itaguacu","7","21"
"ES","sao domingos do norte","7","21"
"ES","alfredo chaves","7","21"
"ES","apiaca","6","22"
"ES","rio novo do sul","6","22"
"ES","sao jose do calcado","6","22"
"ES","sooretama","5","23"
"ES","conceicao do castelo","5","23"
"ES","vargem alta","5","23"
"ES","marechal floriano","5","23"
"ES","fundao","5","23"
"ES","pedro canario","5","23"
"ES","iconha","5","23"
"ES","sao roque do canaa","5","23"
"ES","itaipava","4","24"
"ES","muqui","4","24"
"ES","rio bananal","4","24"
"ES","itapemirim","4","24"
"ES","dores do rio preto","4","24"
"ES","arace","4","24"
"ES","agua doce do norte","4","24"
"ES","mantenopolis","4","24"
"ES","bom jesus do norte","4","24"
"ES","itarana","3","25"
"ES","conceicao da barra","3","25"
"ES","iuna","2","26"
"ES","presidente kennedy","2","26"
"ES","braco do rio","2","26"
"ES","vila nelita","2","26"
"ES","governador lindenberg","2","26"
"ES","celina","2","26"
"ES","muniz freire","2","26"
"ES","jacigua","2","26"
"ES","jeronimo monteiro","2","26"
"ES","itaoca","2","26"
"ES","alto rio novo","2","26"
"ES","irupi","2","26"
"ES","aguia branca","2","26"
"ES","praia grande","1","27"
"ES","pancas","1","27"
"ES","vargem grande do soturno","1","27"
"ES","sao joao de petropolis","1","27"
"ES","angelo frechiani","1","27"
"ES","sao joao do sobrado","1","27"
"ES","ibiracu","1","27"
"ES","mucurici","1","27"
"ES","novo brasil","1","27"
"ES","atilio vivacqua","1","27"
"ES","brejetuba","1","27"
"ES","quilometro 14 do mutum","1","27"
"ES","pacotuba","1","27"
"ES","piacu","1","27"
"ES","laranja da terra","1","27"
"ES","divino de sao lourenco","1","27"
"ES","santa leopoldina","1","27"
"ES","santo antonio do canaa","1","27"
"ES","paraju","1","27"
"ES","araguaia","1","27"
"ES","ponto belo","1","27"
"GO","goiania","692","1"
"GO","anapolis","113","2"
"GO","aparecida de goiania","110","3"
"GO","rio verde","66","4"
"GO","jatai","54","5"
"GO","valparaiso de goias","37","6"
"GO","itumbiara","36","7"
"GO","caldas novas","36","7"
"GO","catalao","34","8"
"GO","formosa","34","8"
"GO","luziania","33","9"
"GO","mineiros","26","10"
"GO","aguas lindas de goias","24","11"
"GO","trindade","24","11"
"GO","goianesia","18","12"
"GO","uruacu","17","13"
"GO","posse","17","13"
"GO","novo gama","16","14"
"GO","senador canedo","16","14"
"GO","inhumas","16","14"
"GO","ipora","15","15"
"GO","morrinhos","14","16"
"GO","niquelandia","14","16"
"GO","quirinopolis","14","16"
"GO","porangatu","13","17"
"GO","ipameri","13","17"
"GO","pires do rio","12","18"
"GO","minacu","11","19"
"GO","goiatuba","10","20"
"GO","planaltina","10","20"
"GO","piracanjuba","10","20"
"GO","alto paraiso de goias","9","21"
"GO","santa helena de goias","9","21"
"GO","crixas","8","22"
"GO","goias","8","22"
"GO","chapadao do ceu","8","22"
"GO","sao luis de montes belos","8","22"
"GO","cidade ocidental","8","22"
"GO","cristalina","8","22"
"GO","goianira","8","22"
"GO","anicuns","8","22"
"GO","bom jesus","8","22"
"GO","cacu","8","22"
"GO","firminopolis","7","23"
"GO","itapuranga","7","23"
"GO","neropolis","7","23"
"GO","mozarlandia","7","23"
"GO","jaragua","7","23"
"GO","bela vista de goias","7","23"
"GO","santa rita do araguaia","7","23"
"GO","ceres","7","23"
"GO","silvania","7","23"
"GO","campos belos","7","23"
"GO","acreuna","7","23"
"GO","campinorte","7","23"
"GO","rubiataba","7","23"
"GO","orizona","6","24"
"GO","guapo","6","24"
"GO","cachoeira alta","6","24"
"GO","itaberai","6","24"
"GO","santo antonio do descoberto","5","25"
"GO","joviania","5","25"
"GO","alexania","5","25"
"GO","sao miguel do araguaia","5","25"
"GO","castelandia","5","25"
"GO","parauna","4","26"
"GO","corumbaiba","4","26"
"GO","itapaci","4","26"
"GO","pirenopolis","4","26"
"GO","santa fe de goias","4","26"
"GO","edeia","4","26"
"GO","piranhas","4","26"
"GO","uruana","4","26"
"GO","aragarcas","4","26"
"GO","indiara","4","26"
"GO","iaciara","4","26"
"GO","sanclerlandia","4","26"
"GO","rianapolis","4","26"
"GO","caiaponia","4","26"
"GO","sao simao","4","26"
"GO","maurilandia","4","26"
"GO","fazenda nova","4","26"
"GO","padre bernardo","4","26"
"GO","nova veneza","4","26"
"GO","goianapolis","4","26"
"GO","sao joao d'alianca","3","27"
"GO","vianopolis","3","27"
"GO","palmeiras de goias","3","27"
"GO","inaciolandia","3","27"
"GO","urutai","3","27"
"GO","jussara","3","27"
"GO","itaja","3","27"
"GO","paranaiguara","3","27"
"GO","alvorada do norte","3","27"
"GO","americano do brasil","3","27"
"GO","serranopolis","3","27"
"GO","portelandia","2","28"
"GO","mara rosa","2","28"
"GO","cumari","2","28"
"GO","itaguacu","2","28"
"GO","doverlandia","2","28"
"GO","santa cruz de goias","2","28"
"GO","hidrolina","2","28"
"GO","corumba de goias","2","28"
"GO","alto horizonte","2","28"
"GO","pontalina","2","28"
"GO","domiciano ribeiro","2","28"
"GO","araguapaz","2","28"
"GO","aruana","2","28"
"GO","bonfinopolis","2","28"
"GO","matrincha","2","28"
"GO","vicentinopolis","2","28"
"GO","cavalcante","2","28"
"GO","cachoeira dourada","2","28"
"GO","itapirapua","2","28"
"GO","planaltina de goias","2","28"
"GO","diorama","2","28"
"GO","campo alegre de goias","2","28"
"GO","simolandia","2","28"
"GO","nazario","2","28"
"GO","carmo do rio verde","2","28"
"GO","brazabrantes","2","28"
"GO","mambai","2","28"
"GO","jesupolis","2","28"
"GO","itaguaru","2","28"
"GO","damianopolis","2","28"
"GO","mundo novo","2","28"
"GO","turvania","2","28"
"GO","leopoldo de bulhoes","1","29"
"GO","sao luiz do norte","1","29"
"GO","campos verdes","1","29"
"GO","nova aurora","1","29"
"GO","santo antonio de goias","1","29"
"GO","novo planalto","1","29"
"GO","aurilandia","1","29"
"GO","lagoa santa","1","29"
"GO","cocalzinho de goias","1","29"
"GO","sao joao da parauna","1","29"
"GO","palminopolis","1","29"
"GO","teresina de goias","1","29"
"GO","cabeceiras","1","29"
"GO","aragoiania","1","29"
"GO","goiandira","1","29"
"GO","jardim abc de goias","1","29"
"GO","abadiania","1","29"
"GO","crominia","1","29"
"GO","mutunopolis","1","29"
"GO","itaguari","1","29"
"GO","formoso","1","29"
"GO","divinopolis de goias","1","29"
"GO","nova roma","1","29"
"GO","jaupaci","1","29"
"GO","mossamedes","1","29"
"GO","nova crixas","1","29"
"GO","ouvidor","1","29"
"GO","sao patricio","1","29"
"GO","mimoso de goias","1","29"
"GO","ipiranga de goias","1","29"
"GO","trombas","1","29"
"GO","flores de goias","1","29"
"GO","jandaia","1","29"
"GO","morro agudo de goias","1","29"
"GO","montividiu do norte","1","29"
"GO","bom jardim de goias","1","29"
"GO","arenopolis","1","29"
"GO","barro alto","1","29"
"GO","mairipotaba","1","29"
"GO","campinacu","1","29"
"GO","apore","1","29"
"GO","agua fria de goias","1","29"
"GO","turvelandia","1","29"
"GO","ouro verde de goias","1","29"
"GO","hidrolandia","1","29"
"GO","britania","1","29"
"GO","nova america","1","29"
"GO","cezarina","1","29"
"GO","agua limpa","1","29"
"GO","buriti alegre","1","29"
"MA","sao luis","353","1"
"MA","imperatriz","40","2"
"MA","balsas","17","3"
"MA","caxias","16","4"
"MA","timon","15","5"
"MA","sao jose de ribamar","14","6"
"MA","santa ines","12","7"
"MA","presidente dutra","12","7"
"MA","bacabal","11","8"
"MA","coroata","9","9"
"MA","codo","8","10"
"MA","paco do lumiar","7","11"
"MA","barra do corda","7","11"
"MA","sao joao dos patos","7","11"
"MA","acailandia","7","11"
"MA","joao lisboa","5","12"
"MA","ze doca","5","12"
"MA","lago da pedra","5","12"
"MA","alto parnaiba","5","12"
"MA","urbano santos","5","12"
"MA","buriticupu","5","12"
"MA","viana","5","12"
"MA","grajau","5","12"
"MA","coelho neto","4","13"
"MA","nova olinda do maranhao","4","13"
"MA","maracacume","4","13"
"MA","itapecuru mirim","4","13"
"MA","pinheiro","4","13"
"MA","barreirinhas","4","13"
"MA","paraibano","3","14"
"MA","cururupu","3","14"
"MA","bacuri","3","14"
"MA","estreito","3","14"
"MA","colinas","3","14"
"MA","vitorino freire","3","14"
"MA","chapadinha","3","14"
"MA","dom pedro","3","14"
"MA","esperantinopolis","3","14"
"MA","maioba","3","14"
"MA","fortuna","3","14"
"MA","mirinzal","3","14"
"MA","sao bernardo","3","14"
"MA","santa helena","3","14"
"MA","pindare mirim","3","14"
"MA","sao mateus do maranhao","3","14"
"MA","cedral","3","14"
"MA","pedreiras","3","14"
"MA","sao bento","2","15"
"MA","arari","2","15"
"MA","satubinha","2","15"
"MA","sao domingos do maranhao","2","15"
"MA","bom jesus das selvas","2","15"
"MA","matoes do norte","2","15"
"MA","pastos bons","2","15"
"MA","tutoia","2","15"
